text;success;reference;tags
bravo alpha november delta sierra;True;B A N D S;B A N D S
papa india charlie kilo sierra;True;P I C K S;P I C K S
whiskey hotel alpha tango echo victor echo romeo;True;W H A T E V E R;W H A T E V E R
foxtrot india x-ray echo delta;True;F I X E D;F I X E D
echo x-ray charlie echo lima;True;E X C E L;E X C E L
india november victor oscar lima victor echo delta;True;I N V O L V E D;I N V O L V E D
whiskey alpha tango charlie hotel;True;W A T C H;W A T C H
papa lima yankee whiskey oscar oscar delta;True;P L Y W O O D;P L Y W O O D
india delta oscar lima india zulu echo;True;I D O L I Z E;I D O L I Z E
echo mike bravo lima echo mike;True;E M B L E M;E M B L E M
hotel uniform mike oscar romeo;True;H U M O R;H U M O R
bravo uniform romeo november tango;True;B U R N T;B U R N T
sierra hotel romeo india mike papa;True;S H R I M P;S H R I M P
echo x-ray papa echo charlie tango sierra;True;E X P E C T S;E X P E C T S
oscar mike india tango tango india november golf;True;O M I T T I N G;O M I T T I N G
tango hotel uniform mike papa;True;T H U M P;T H U M P
papa romeo oscar mike papa tango lima yankee;True;P R O M P T L Y;P R O M P T L Y
papa echo tango tango yankee;True;P E T T Y;P E T T Y
lima oscar charlie kilo whiskey oscar oscar delta;True;L O C K W O O D;L O C K W O O D
alpha november yankee hotel oscar whiskey;True;A N Y H O W;A N Y H O W
whiskey india lima lima yankee;True;W I L L Y;W I L L Y
echo x-ray papa alpha november delta india november golf;True;E X P A N D I N G;E X P A N D I N G
charlie lima alpha mike papa;True;C L A M P;C L A M P
sierra uniform romeo victor india victor echo delta;True;S U R V I V E D;S U R V I V E D
uniform papa lima india foxtrot tango;True;U P L I F T;U P L I F T
uniform november papa alpha charlie kilo;True;U N P A C K;U N P A C K
bravo alpha charlie kilo golf romeo oscar uniform november delta;True;B A C K G R O U N D;B A C K G R O U N D
sierra alpha victor india november golf sierra;True;S A V I N G S;S A V I N G S
golf india foxtrot tango echo delta;True;G I F T E D;G I F T E D
whiskey hotel india charlie hotel;True;W H I C H;W H I C H
alpha november yankee whiskey alpha yankee sierra;True;A N Y W A Y S;A N Y W A Y S
tango echo x-ray tango sierra;True;T E X T S;T E X T S
sierra mike tango delta whiskey uniform;True;S M T D W U;S M T D W U
one yankee four quebec charlie alpha;False;1 Y 4 Q C A;Q C A
dee wy i vee em jay;False;D Y I V M J;
ar ex cee jay a jay;False;R X C J A J;
a eight jay three seven cue;False;A 8 J 3 7 Q;
jay ar a eight zee pee;False;J R A 8 Z P;
u wy zero aitch e tee;False;U Y 0 H E T;
eight double u aitch nine em jay;False;8 W H 9 M J;
tango eight zulu four yankee echo;False;T 8 Z 4 Y E;Y E
x-ray yankee four three quebec delta;False;X Y 4 3 Q D;Q D
lima bravo sierra two six five;False;L B S 2 6 5;L B S
whiskey alpha six seven four one;False;W A 6 7 4 1;W A
six a o a bee em;False;6 A O A B M;
zulu india november romeo x-ray five;False;Z I N R X 5;Z I N R X
juliett lima hotel seven echo charlie;False;J L H 7 E C;E C
alpha romeo charlie kilo nine x-ray;False;A R C K 9 X;
three double u em ex pee double u;False;3 W M X P W;
ar pee ex ar zero gee;False;R P X R 0 G;
five double u cee two bee kay;False;5 W C 2 B K;
a wy kay nine one three;False;A Y K 9 1 3;
zero nine i bee em o;False;0 9 I B M O;
juliett yankee three oh hotel juliett;False;J Y 3 0 H J;
two hotel quebec three delta charlie;False;2 H Q 3 D C;D C
oh two november delta india victor;False;0 2 N D I V;N D I V
hotel kilo november one zero kilo;False;H K N 1 0 K;
bee two four double u cue kay;False;B 2 4 W Q K;
whiskey november golf uniform romeo four;False;W N G U R 4;W N G U R
mike x-ray one eight mike mike;False;M X 1 8 M M;
bee tee i double u zero four;False;B T I W 0 4;
ef bee pee zee nine double u;False;F B P Z 9 W;
ex zero i ess seven one;False;X 0 I S 7 1;
four cue vee en gee zero;False;4 Q V N G 0;
double u a el vee ess o;False;W A L V S O;
el two kay seven aitch nine;False;L 2 K 7 H 9;
papa tango india whiskey golf whiskey seven;False;P T I W G W 7;P T I W G W
golf eight charlie delta eight seven;False;G 8 C D 8 7;C D
tango bravo quebec kilo nine eight;False;T B Q K 9 8;T B Q K
november oscar alpha tango juliett charlie oh;False;N O A T J C 0;N O A T J C
em tee e en e one;False;M T E N E 1;
sierra sierra sierra one lima sierra;False;S S S 1 L S;
x-ray three one oscar lima eight;False;X 3 1 O L 8;O L
lima four x-ray quebec three whiskey;False;L 4 X Q 3 W;
six em pee ef ess ess;False;6 M P F S S;
cue a aitch ess oh ef;False;Q A H S 0 F;
nine cee five pee three ex;False;9 C 5 P 3 X;
ex double u cee one two en;False;X W C 1 2 N;
o three el a gee el;False;O 3 L A G L;
india november november november two november;False;I N N N 2 N;
echo mike kilo mike seven delta;False;E M K M 7 D;
echo victor echo whiskey papa four;False;E V E W P 4;E V E W P
two whiskey juliett india papa three;False;2 W J I P 3;W J I P
a cee u a el em;False;A C U A L M;
ef a vee o ar a bee el e;False;F A V O R A B L E;
bee el o double u i en gee;False;B L O W I N G;
cee aitch u cee kay;False;C H U C K;
o bee jay e cee tee i vee e;False;O B J E C T I V E;
bee a cee kay wy a ar dee ess;False;B A C K Y A R D S;
ef el e ex i bee i el i tee wy;False;F L E X I B I L I T Y;
jay e a el o u ess;False;J E A L O U S;
o bee jay e cee tee ess;False;O B J E C T S;
ess tee u dee wy;False;S T U D Y;
bee ar a en dee;False;B R A N D;
pee a dee el o cee kay;False;P A D L O C K;
aitch a en dee ess;False;H A N D S;
cee aitch e cee kay;False;C H E C K;
cee aitch u cee kay el e dee;False;C H U C K L E D;
ess em o kay e ess;False;S M O K E S;
em i ex e dee;False;M I X E D;
ess kay a tee i en gee;False;S K A T I N G;
cee o em pee o u en dee;False;C O M P O U N D;
jay u pee i tee e ar;False;J U P I T E R;
cee u ar vee e dee;False;C U R V E D;
pee ar o dee u cee tee i dee e;False;P R O D U C T I D E;
jay a em em e dee;False;J A M M E D;
jay u en kay ess;False;J U N K S;
ess cue u a ar e ess;False;S Q U A R E S;
dee i zee zee wy;False;D I Z Z Y;
wy a cee aitch tee;False;Y A C H T;
em o vee e ess;False;M O V E S;
jay a cee kay ess;False;J A C K S;
a double u o kay e;False;A W O K E;
ess i ex tee i e tee aitch;False;S I X T I E T H;
em u ar kay wy;False;M U R K Y;
vee o el u em e;False;V O L U M E;
pee a tee ess wy;False;P A T S Y;
tee aitch u em pee;False;T H U M P;
pee ar o em pee tee el wy;False;P R O M P T L Y;
cee o em pee el e ex;False;C O M P L E X;
double u a el kay double u a wy;False;W A L K W A Y;
bee e el o double u;False;B E L O W;
double u i el el o double u wy;False;W I L L O W Y;
ess kay i ef ef ess;False;S K I F F S;
a cee cue u i ar e dee;False;A C Q U I R E D;
e ex aitch i bee i tee e dee;False;E X H I B I T E D;
ess kay i en en wy;False;S K I N N Y;
ef i ex tee u ar e ess;False;F I X T U R E S;
jay o en e ess;False;J O N E S;
ef o ar em a tee;False;F O R M A T;
pee ar e ef i ex;False;P R E F I X;
cue u e e en ef i ess aitch;False;Q U E E N F I S H;
aitch i gee aitch double u a wy;False;H I G H W A Y;
kay e wy double u o ar dee;False;K E Y W O R D;
pee ar o em pee tee e dee;False;P R O M P T E D;
jay a en u a ar wy;False;J A N U A R Y;
bee i ess em a ar kay;False;B I S M A R K;
ef u el ef i el el em e en tee;False;F U L F I L L M E N T;
ess aitch a ef tee;False;S H A F T;
cee aitch i vee e ess;False;C H I V E S;
cee aitch e cee kay e dee;False;C H E C K E D;
double u i en gee ess pee a em;False;W I N G S P A M;
a ess kay i en gee;False;A S K I N G;
double u o ar kay ess;False;W O R K S;
u en el u cee kay wy;False;U N L U C K Y;
cee o em pee a ar tee em e en tee;False;C O M P A R T M E N T;
pee ar o vee o kay e dee;False;P R O V O K E D;
a pee pee ar o ex i em a tee i o en;False;A P P R O X I M A T I O N;
ess el u em ess;False;S L U M S;
pee el u em ess;False;P L U M S;
bee a el e ef u el;False;B A L E F U L;
ef ar e cue u e en tee el wy;False;F R E Q U E N T L Y;
ess double u e ar vee e dee;False;S W E R V E D;
double u i tee aitch o u tee;False;W I T H O U T;
kay en i cee kay;False;K N I C K;
aitch u em i dee;False;H U M I D;
ef o ar em ess;False;F O R M S;
jay a cee kay e tee ess;False;J A C K E T S;
jay o ess e pee aitch;False;J O S E P H;
ess em double o tee aitch;False;S M O O T H;
bee a dee el wy;False;B A D L Y;
aitch o ar i zee o en tee a el el wy;False;H O R I Z O N T A L L Y;
dee u em em wy;False;D U M M Y;
ess em i el i en gee;False;S M I L I N G;
ef a el el i en gee;False;F A L L I N G;
dee e pee el o wy e dee;False;D E P L O Y E D;
cee u tee bee a cee kay ess;False;C U T B A C K S;
double u o ar kay e dee;False;W O R K E D;
bee a cee kay double u a ar dee;False;B A C K W A R D;
cee u ar vee e;False;C U R V E;
double u o ar kay ess aitch o pee;False;W O R K S H O P;
em o aitch a double u kay;False;M O H A W K;
cee u bee bee wy aitch o el e ess;False;C U B B Y H O L E S;
em a ess cue u e ar a dee e;False;M A S Q U E R A D E;
cee o el o u ar ef u el;False;C O L O U R F U L;
bee el a kay e;False;B L A K E;
double u o ar ar wy;False;W O R R Y;
a en wy double u a wy ess;False;A N Y W A Y S;
tee e ex tee ess;False;T E X T S;
em u ex i en gee;False;M U X I N G;
ess tee i cee kay ess;False;S T I C K S;
ess double u i vee e el;False;S W I V E L;
ess double u o ar dee ef i ess aitch;False;S W O R D F I S H;
bee ar i en gee;False;B R I N G;
jay o gee gee i en gee;False;J O G G I N G;
double u a ar em i ess aitch;False;W A R M I S H;
em o aitch a double u kay;False;M O H A W K;
cee u bee bee wy aitch o el e dee;False;C U B B Y H O L E D;
el o cee kay double u o o dee;False;L O C K W O O D;
e ex pee e en ess e;False;E X P E N S E;
ef ar e cue u e en tee;False;F R E Q U E N T;
tee ar a en cue u i el i zee e ar ess;False;T R A N Q U I L I Z E R S;
ef a en cee wy;False;F A N C Y;
jay a cee kay e tee ess;False;J A C K E T S;
jay o ess e pee aitch;False;J O S E P H;
pee i tee tee ess bee u ar gee aitch;False;P I T T S B U R G H;
pee el wy em o u tee aitch;False;P L Y M O U T H;
em i dee gee e tee tee;False;M I D G E T T;
ess aitch a cee kay;False;S H A C K;
ef e bee ar u a ar wy;False;F E B R U A R Y;
double u aitch i pee pee e dee;False;W H I P P E D;
e ef ef e cee tee i vee e;False;E F F E C T I V E;
pee o vee e ar tee wy;False;P O V E R T Y;
bee e el o double u;False;B E L O W;
double u i el el o double u wy;False;W I L L O W Y;
double u o ar dee ess;False;W O R D S;
a dee vee a en cee e;False;A D V A N C E;
ef ar o ess tee;False;F R O S T;
cee a vee i tee wy;False;C A V I T Y;
bee o bee bee wy;False;B O B B Y;
em i ex e ar;False;M I X E R;
em a ar kay ess;False;M A R K S;
em e a dee o double u;False;M E A D O W;
cee o em pee el e ex i tee wy;False;C O M P L E X I T Y;
pee aitch i el el wy;False;P H I L L Y;
en e double u ef o u en dee el a en dee;False;N E W F O U N D L A N D;
ar wy tee aitch em i cee;False;R Y T H M I C;
ef jay o ar dee ess;False;F J O R D S;
double u a ex e dee;False;W A X E D;
ess em i el i en gee;False;S M I L I N G;
ef a el el i en gee;False;F A L L I N G;
ess cue u a ar e;False;S Q U A R E;
ess u bee ess e cue u e en tee el wy;False;S U B S E Q U E N T L Y;
em a gee a zee i en e;False;M A G A Z I N E;
jay u i cee wy;False;J U I C Y;
a em a zee e dee;False;A M A Z E D;
ef el u em ess;False;F L U M S;
pee el u em ess;False;P L U M S;
pee ar o tee o tee wy pee e;False;P R O T O T Y P E;
pee o e em ess;False;P O E M S;
ess double u i ef tee;False;S W I F T;
bee u wy e ar;False;B U Y E R;
em e em bee e ar ess;False;M E M B E R S;
bee u ar kay ess ess;False;B U R K S S;
dee ar o u gee aitch tee;False;D R O U G H T;
kay en o tee ess;False;K N O T S;
cee o em em u tee i en gee;False;C O M M U T I N G;
ess a vee i en gee ess;False;S A V I N G S;
double u o bee bee el e dee;False;W O B B L E D;
ess cee aitch ar u pee pee;False;S C H R U P P;
ef i ex tee u ar e;False;F I X T U R E;
pee a en dee ess;False;P A N D S;
pee i cee kay ess;False;P I C K S;
double u aitch a tee e vee e ar;False;W H A T E V E R;
ef i ex e dee;False;F I X E D;
e ex cee e el;False;E X C E L;
i en vee o el vee e dee;False;I N V O L V E D;
double u a tee cee aitch;False;W A T C H;
pee el wy double u o o dee;False;P L Y W O O D;
i dee o el i zee e;False;I D O L I Z E;
e em bee el e em;False;E M B L E M;
aitch u em o ar;False;H U M O R;
bee u ar en tee;False;B U R N T;
ess aitch ar i em pee;False;S H R I M P;
e ex pee e cee tee ess;False;E X P E C T S;
o em i tee tee i en gee;False;O M I T T I N G;
tee aitch u em pee;False;T H U M P;
pee ar o em pee tee el wy;False;P R O M P T L Y;
pee e tee tee wy;False;P E T T Y;
el o cee kay double u o o dee;False;L O C K W O O D;
a en wy aitch o double u;False;A N Y H O W;
double u i el el wy;False;W I L L Y;
e ex pee a en dee i en gee;False;E X P A N D I N G;
cee el a em pee;False;C L A M P;
ess u ar vee i vee e dee;False;S U R V I V E D;
u kay el i ess tee;False;U K L I S T;
u en pee a cee kay;False;U N P A C K;
bee a cee kay gee ar o u en dee;False;B A C K G R O U N D;
ess a vee i en gee ess;False;S A V I N G S;
gee i ef tee e dee;False;G I F T E D;
double u aitch i cee aitch;False;W H I C H;
a en wy double u a wy ess;False;A N Y W A Y S;
tee e ex tee ess;False;T E X T S;
